S:lunar mission SELENE launch | P:occurs at | O:tanegashima space center
S:honshu | P:is contained in | O:ryukyu islands
S:honshu | P:is contained in | O:chugoku region
S:honshu | P:is contained in | O:shikoku region
S:honshu | P:is contained in | O:seto inland sea
S:honshu | P:is contained in | O:nanpo islands
S:honshu | P:is contained in | O:okinawa
S:japan's military overseas deployment | P:occurs at | O:iraq
S:japan's military overseas deployment | P:is related to | O:japan self-defense forces
S:statement by shinzo abe | P:is related to | O:shinzo abe
S:statement by shinzo abe | P:is related to | O:national police agency
S:statement by shinzo abe | P:is related to | O:national public safety commission
S:statement by shinzo abe | P:is related to | O:japan coast guard
S:statement by shinzo abe | P:is related to | O:united nations office on drugs and crime
S:['spending increase instruction', 'japan military budget increase'] | P:is related to | O:fumio kishida
S:['spending increase instruction', 'japan military budget increase'] | P:is related to | O:ministry of defense
S:['spending increase instruction', 'japan military budget increase'] | P:is related to | O:japan self-defense forces (jsdf)
S:['spending increase instruction', 'japan military budget increase'] | P:is related to | O:united nations office on drugs and crime
S:highest temperature recorded | P:occurs at | O:sea of japan
S:highest temperature recorded | P:is related to | O:environment ministry
S:sea of japan | P:was present at | O:sanae takaichi
S:environmental laws introduced | P:is related to | O:environment ministry
S:carbon neutrality target announced | P:is related to | O:environment ministry
S:surrender of japan | P:is related to | O:allies
S:surrender of japan | P:is related to | O:international military tribunal for the far east
S:tohoku earthquake | P:occurs at | O:fukushima daiichi
S:yasunari kawabata | P:is related to | O:national government of japan
S:national government of japan | P:is related to | O:kenzaburo oe
S:national government of japan | P:is related to | O:sey shonagon
S:national government of japan | P:is related to | O:murasaki shikibu
S:national government of japan | P:is related to | O:natsume soseki
S:national government of japan | P:is related to | O:mori ogai
S:national government of japan | P:is related to | O:ryunosuke akutagawa
S:national government of japan | P:is related to | O:jun'ichiro tanizaki
S:national government of japan | P:is related to | O:kafu nagai
S:national government of japan | P:is related to | O:haruki murakami
S:national government of japan | P:is related to | O:kenji nakagami
S:national government of japan | P:is related to | O:kenzo tange
S:national government of japan | P:is part of | O:local governments of japan
S:ishiro honda | P:is related to | O:nippon professional baseball
S:go daigo | P:is related to | O:kamakura shogunate
S:kamakura shogunate | P:is part of | O:ashikaga shogunate
S:kamakura shogunate | P:is part of | O:minamoto clan
S:kamakura shogunate | P:is part of | O:hojo clan
S:ashikaga takauji | P:is related to | O:ashikaga shogunate
S:ashikaga shogunate | P:is related to | O:takauji ashikaga
S:tokugawa ieyasu | P:is related to | O:tokugawa shogunate
S:matthew perry | P:was present at | O:hong kong
S:matthew perry | P:was present at | O:singapore
S:matthew perry | P:was present at | O:nagasaki
S:naka no Oe | P:is related to | O:imperial court
S:imperial court | P:is related to | O:fujiwara no kamatari
S:sanae takaichi | P:was present at | O:okinawa
S:sanae takaichi | P:is related to | O:liberal democratic party
S:sanae takaichi | P:is related to | O:government of japan
S:liberal democratic party | P:is related to | O:shinzo abe
S:liberal democratic party | P:is related to | O:fumio kishida
S:liberal democratic party | P:is part of | O:ishin
S:government of japan | P:is related to | O:shinzo abe
S:government of japan | P:is related to | O:fumio kishida
S:government of japan | P:is part of | O:mext
S:government of japan | P:is part of | O:oecd
S:shinzo abe | P:is related to | O:japan self-defense forces (jsdf)
S:japan self-defense forces (jsdf) | P:is related to | O:fumio kishida
S:national police agency | P:is part of | O:national public safety commission
